"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"3","10","0.01","0.0001","0.53676","0.0","0.0","0.0","0.64414","0.0","0.0","0.0","0.6938519999999999","6.434600000000413e-08"
"3","10","0.001","0.0001","0.55126","0.0","0.0","0.0","0.59292","0.0","0.0","0.0","0.6932345","1.6234749999998222e-08"
"3","10","0.0001","0.0001","0.52618","0.42717","0.61","0.50247","0.54723","0.54","0.57447","0.5567","0.693112","4.626599999999772e-08"
"3","10","1e-05","0.0001","0.53595","0.4325","1.0","0.60384","0.526","0.52577","1.0","0.68919","0.6931359999999999","2.0009400000000105e-07"
"3","10","0.01","1e-05","0.53814","0.0","0.0","0.0","0.62436","0.0","0.0","0.0","0.6939210000000001","7.442900000000319e-08"
"3","10","0.001","1e-05","0.56084","0.51863","0.84505","0.64277","0.57381","0.43299","1.0","0.60432","0.693882","6.949206000000006e-06"
"3","10","0.0001","1e-05","0.54727","0.46408","0.58727","0.51846","0.55512","0.5567","1.0","0.71523","0.6929810000000001","1.5498999999997904e-08"
"3","10","1e-05","1e-05","0.5456","0.52167","1.0","0.68565","0.67477","0.47423","1.0","0.64336","0.6933105","1.0903474999999811e-07"
"3","10","0.01","1e-06","0.91175","0.68066","0.9386","0.78909","0.7329","0.5","0.80952","0.61818","0.376266","0.00038173575400000015"
"3","10","0.001","1e-06","0.6899","0.70223","0.42749","0.53146","0.66795","0.64286","0.35294","0.4557","0.576171","0.010314905699000001"
"3","10","0.0001","1e-06","0.66523","0.70599","0.57204","0.63199","0.64487","0.66667","0.42308","0.51765","0.6713495","7.917114750000033e-06"
"3","10","1e-05","1e-06","0.52976","0.56245","0.99407","0.71842","0.60034","0.4433","1.0","0.61429","0.6930790000000001","2.3570899999999715e-07"
"3","10","0.01","1e-07","0.87178","0.76502","0.78584","0.77529","0.61795","0.5625","0.6","0.58065","0.430849","0.0008525527089999995"
"3","10","0.001","1e-07","0.81949","0.84522","0.75067","0.79515","0.61054","0.5625","0.5625","0.5625","0.5302564999999999","9.13525327500001e-05"
"3","10","0.0001","1e-07","0.57824","0.43167","1.0","0.60303","0.5641","0.53608","1.0","0.69799","0.69314","3.83899999999954e-08"
"3","10","1e-05","1e-07","0.53874","0.0","0.0","0.0","0.55553","0.0","0.0","0.0","0.693446","1.7742400000000346e-07"
"3","10","0.01","1e-08","0.54017","0.0","0.0","0.0","0.63001","0.0","0.0","0.0","0.6939835000000001","1.3908462750000033e-05"
"3","10","0.001","1e-08","0.54786","0.44","1.0","0.61111","0.58919","0.54639","1.0","0.70667","0.693226","8.423999999999308e-09"
"3","10","0.0001","1e-08","0.52952","0.48333","0.10507","0.17262","0.60334","0.44828","0.88636","0.59542","0.693066","2.6854000000002333e-08"
"3","10","1e-05","1e-08","0.52357","0.0","0.0","0.0","0.57193","0.0","0.0","0.0","0.69321","1.492999999999844e-08"
"5","3","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.693806","5.496399999999414e-08"
"5","3","0.001","0.001","0.5","0.515","1.0","0.67987","0.5","0.46392","1.0","0.6338","0.6932275","3.2287499999989504e-09"
"5","3","0.0001","0.001","0.54963","0.0","0.0","0.0","0.59654","0.0","0.0","0.0","0.6932105","1.2654749999998372e-08"
"5","3","1e-05","0.001","0.52691","0.0","0.0","0.0","0.56794","0.0","0.0","0.0","0.699596","7.827273999999962e-06"
"5","3","0.01","0.0001","0.5","0.45667","1.0","0.627","0.5","0.46392","1.0","0.6338","0.693868","5.388600000000235e-08"
"5","3","0.001","0.0001","0.54313","0.53307","0.2358","0.32697","0.68918","0.62338","0.87273","0.72727","0.6940649999999999","3.344890499999988e-05"
"5","3","0.0001","0.0001","0.578","0.0","0.0","0.0","0.60192","0.0","0.0","0.0","0.6932020000000001","4.2355999999999496e-08"
"5","3","1e-05","0.0001","0.55348","0.77778","0.01108","0.02184","0.62108","0.0","0.0","0.0","0.6932864999999999","2.078927500000097e-07"
"5","3","0.01","1e-05","0.5425","0.0","0.0","0.0","0.60974","0.0","0.0","0.0","0.693853","7.747099999999561e-08"
"5","3","0.001","1e-05","0.54613","0.54558","0.6843","0.60712","0.62607","0.58333","0.67308","0.625","0.6566235","0.00113030589275"
"5","3","0.0001","1e-05","0.60137","0.49833","1.0","0.66518","0.57773","0.4433","1.0","0.61429","0.6932865","6.018275000000211e-08"
"5","3","1e-05","1e-05","0.54359","0.57167","1.0","0.72747","0.57313","0.49485","1.0","0.66207","0.7543850000000001","3.974319499999986e-05"
"5","3","0.01","1e-06","0.53878","0.45729","0.99273","0.62615","0.65043","0.60274","0.84615","0.704","0.6675745000000001","0.0009459246847499999"
"5","3","0.001","1e-06","0.52495","0.50177","0.97595","0.66278","0.56282","0.56","0.26923","0.36364","0.679978","0.00023392141600000023"
"5","3","0.0001","1e-06","0.55702","0.56833","1.0","0.72476","0.6265","0.54639","1.0","0.70667","0.6931845000000002","4.684750000000891e-09"
"5","3","1e-05","1e-06","0.50923","0.0","0.0","0.0","0.5795","0.0","0.0","0.0","0.7403065000000001","2.8639902749999972e-05"
"5","3","0.01","1e-07","0.55543","0.49667","1.0","0.6637","0.67149","0.0","0.0","0.0","0.6936249999999999","3.5320215000000056e-05"
"5","3","0.001","1e-07","0.54401","0.37223","0.80087","0.50824","0.55961","0.47297","0.79545","0.59322","0.688851","7.133464899999989e-05"
"5","3","0.0001","1e-07","0.52362","0.0","0.0","0.0","0.63108","0.0","0.0","0.0","0.6908450000000002","6.827594999999993e-06"
"5","3","1e-05","1e-07","0.53063","0.41083","1.0","0.5824","0.5699","0.45361","1.0","0.62411","0.694036","5.442740000000114e-07"
"5","3","0.01","1e-08","0.53203","0.5638","0.90476","0.6947","0.62907","0.45361","1.0","0.62411","0.689865","5.059205499999998e-05"
"5","3","0.001","1e-08","0.53381","0.65169","0.89733","0.75503","0.53261","0.45882","0.84783","0.59542","0.6511669999999999","0.0019473388010000001"
"5","3","0.0001","1e-08","0.53771","0.51266","0.33061","0.40199","0.55745","0.5443","0.86","0.66667","0.687016","7.990341399999975e-05"
"5","3","1e-05","1e-08","0.54147","0.0","0.0","0.0","0.62674","0.0","0.0","0.0","0.6936805","2.3014475000000942e-07"
"5","5","0.01","0.001","0.5","0.54083","1.0","0.702","0.5","0.52577","1.0","0.68919","0.6938705000000002","4.1384749999999116e-08"
"5","5","0.001","0.001","0.63186","0.515","1.0","0.67987","0.60874","0.0","0.0","0.0","0.6932885","8.702749999999302e-09"
"5","5","0.0001","0.001","0.5522","0.45455","0.04638","0.08418","0.60358","0.56863","0.56863","0.56863","0.69323","8.980999999999567e-08"
"5","5","1e-05","0.001","0.52322","0.52333","1.0","0.68709","0.62713","0.49485","1.0","0.66207","0.7196525000000001","1.8134258750000016e-05"
"5","5","0.01","0.0001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6937405","2.4654749999995875e-08"
"5","5","0.001","0.0001","0.53644","0.0","0.0","0.0","0.61425","0.0","0.0","0.0","0.6932240000000001","5.643999999998232e-09"
"5","5","0.0001","0.0001","0.53235","0.65289","0.12043","0.20335","0.64073","0.66667","0.2449","0.35821","0.693148","2.833599999999877e-08"
"5","5","1e-05","0.0001","0.53974","0.37333","0.24295","0.29435","0.60102","0.6","0.06522","0.11765","0.6931","8.100000000000447e-08"
"5","5","0.01","1e-05","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6939470000000001","6.129100000000044e-08"
"5","5","0.001","1e-05","0.56678","0.49171","0.63121","0.5528","0.64518","0.66667","0.5614","0.60952","0.693304","2.291604000000007e-06"
"5","5","0.0001","1e-05","0.67231","0.57096","0.84765","0.68232","0.74808","0.64615","0.82353","0.72414","0.6748824999999999","0.00015581581874999964"
"5","5","1e-05","1e-05","0.52325","0.0","0.0","0.0","0.5901","0.0","0.0","0.0","0.6936804999999999","7.43414749999993e-07"
"5","5","0.01","1e-06","0.8131","0.73942","0.76132","0.75021","0.59669","0.64444","0.51786","0.57426","0.5311675","0.00011633719874999999"
"5","5","0.001","1e-06","0.73534","0.71498","0.71732","0.71615","0.60292","0.5","0.0566","0.10169","0.6134355000000001","4.684443474999997e-05"
"5","5","0.0001","1e-06","0.54232","1.0","0.00326","0.00649","0.59191","0.55769","0.58","0.56863","0.6931565000000001","2.4982749999999093e-08"
"5","5","1e-05","1e-06","0.53843","0.0","0.0","0.0","0.55578","0.0","0.0","0.0","0.6946595","1.0016647499999794e-06"
"5","5","0.01","1e-07","0.56316","0.475","1.0","0.64407","0.60043","0.56701","1.0","0.72368","0.6939445","8.077747499999941e-07"
"5","5","0.001","1e-07","0.82665","0.74146","0.78893","0.76446","0.58834","0.59524","0.4717","0.52632","0.5211165","3.919234274999996e-05"
"5","5","0.0001","1e-07","0.51954","0.0","0.0","0.0","0.63463","0.5","0.07143","0.125","0.6927320000000001","1.3545600000000333e-07"
"5","5","1e-05","1e-07","0.52339","0.0","0.0","0.0","0.58075","0.0","0.0","0.0","0.7027135","5.706172749999982e-06"
