"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"5","3","0.0001","0.001","0.77102","0.68142","0.94334","0.79127","0.76606","0.72174","0.84694","0.77934","0.5758284999999999","0.0005375652627499996"
"5","3","1e-05","0.001","0.72462","0.69004","0.89732","0.78015","0.73174","0.74797","0.85185","0.79654","0.6098840000000001","0.0009108746639999996"
"5","3","0.1","0.0001","0.5","0.62705","1.0","0.77078","0.5","0.61453","1.0","0.76125","0.5980030000000001","0.0001239677910000001"
"5","3","0.01","0.0001","0.77935","0.73408","0.87028","0.7964","0.78886","0.8","0.81633","0.80808","0.5374080000000001","0.0013591371760000004"
"5","3","0.001","0.0001","0.66898","0.74229","0.81683","0.77778","0.72167","0.73913","0.83333","0.78341","0.5759965","0.0006407746727500002"
"5","3","0.0001","0.0001","0.7375","0.60008","1.0","0.75007","0.75981","0.0","0.0","0.0","0.5879085","2.439308274999994e-05"
"5","3","1e-05","0.0001","0.70728","0.5335","1.0","0.6958","0.75213","0.53073","1.0","0.69343","0.6169610000000001","0.0025980360889999994"
"5","3","0.1","1e-05","0.7053","0.0","0.0","0.0","0.74593","0.0","0.0","0.0","0.5944995","0.00012056056475000013"
"5","3","0.01","1e-05","0.79568","0.76749","0.86534","0.81348","0.82029","0.80909","0.82407","0.81651","0.49859400000000004","0.0012471901440000003"
"5","3","0.001","1e-05","0.79669","0.76478","0.90368","0.82845","0.77835","0.74747","0.81319","0.77895","0.5001825","0.0015687679787499994"
"5","3","0.0001","1e-05","0.75697","0.7076","0.874","0.78205","0.76971","0.72519","0.89623","0.80169","0.5652980000000001","0.0002597786659999999"
"5","3","1e-05","1e-05","0.71749","0.53392","1.0","0.69615","0.74867","0.55307","1.0","0.71223","0.640308","0.001470715516"
"5","3","0.1","1e-06","0.71353","0.54565","0.99923","0.70585","0.74407","0.50562","1.0","0.67164","0.5978175","0.00010374589875000006"
"5","3","0.01","1e-06","0.66223","0.76832","0.82571","0.79598","0.75812","0.72277","0.8022","0.76042","0.5843794999999999","0.00029173434475"
